vehicle_id,gps_latitude_x,gps_longitude_x,speed_(km/h)_x,timestamp,route_id_x,data_type,item_id,quantity_available,warehouse_location,location,weather_condition,traffic_condition,driver_id,harsh_braking_events_x,acceleration_events_x,driving_time_(min)_x,fuel_used_(l),fuel_efficiency_(km/l),maintenance_type,severity_level,eta_x,distance_(km)_x,traffic_delay_(min)_x,weather_impact_x,customer_id,feedback_score,issue_reported,eta_y,distance_(km)_y,traffic_delay_(min)_y,weather_impact_y,harsh_braking_events_y,acceleration_events_y,driving_time_(min)_y,gps_latitude_y,gps_longitude_y,speed_(km/h)_y,route_id_y
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9525,77.5378,43.0,R5
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0252,77.6096,46.0,R3
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9926,77.6927,57.0,R4
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9164,77.6191,54.0,R2
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0243,77.6473,59.0,R4
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9779,77.5762,41.0,R1
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0171,77.5856,44.0,R1
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9883,77.5929,42.0,R2
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0718,77.503,52.0,R5
V001,13.0401,77.6636,56.0,2025-01-22 12:19:38.101690,R4,Vehicle Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9933,77.5422,40.0,R4
