Item ID,Quantity Available,Warehouse Location,Timestamp
I003,101,Location_1,2025-01-22 12:00:56.293456
I001,118,Location_1,2025-01-22 12:41:56.293456
I001,172,Location_5,2025-01-22 12:27:56.293456
I002,150,Location_4,2025-01-22 12:25:56.293456
I005,200,Location_3,2025-01-22 12:00:56.293456
I003,163,Location_4,2025-01-22 12:44:56.293456
I001,53,Location_5,2025-01-22 12:43:56.293456
I001,178,Location_5,2025-01-22 12:45:56.293456
I005,153,Location_3,2025-01-22 12:52:56.293456
I002,129,Location_1,2025-01-22 12:44:56.293456
I001,144,Location_5,2025-01-22 12:18:56.293456
I001,143,Location_3,2025-01-22 12:42:56.293456
I002,116,Location_4,2025-01-22 12:27:56.294459
I001,159,Location_2,2025-01-22 12:27:56.294459
I002,93,Location_3,2025-01-22 12:50:56.294459
I003,107,Location_1,2025-01-22 12:00:56.294459
I002,175,Location_1,2025-01-22 12:28:56.294459
I004,146,Location_4,2025-01-22 12:41:56.294459
I001,98,Location_3,2025-01-22 12:50:56.294459
I001,101,Location_2,2025-01-22 12:24:56.294459
I005,193,Location_1,2025-01-22 12:31:56.294459
I003,151,Location_3,2025-01-22 12:38:56.294459
I004,138,Location_4,2025-01-22 12:32:56.294459
I001,134,Location_2,2025-01-22 12:18:56.294459
I005,65,Location_2,2025-01-22 12:40:56.294459
I004,168,Location_2,2025-01-22 12:29:56.294459
I001,119,Location_4,2025-01-22 12:39:56.294459
I004,66,Location_2,2025-01-22 12:47:56.294459
I001,81,Location_5,2025-01-22 12:00:56.294459
I005,200,Location_1,2025-01-22 12:42:56.294459
I001,156,Location_5,2025-01-22 12:13:56.294459
I005,90,Location_2,2025-01-22 12:20:56.294459
I005,57,Location_5,2025-01-22 12:16:56.294459
I001,55,Location_4,2025-01-22 11:57:56.294459
I004,190,Location_5,2025-01-22 12:25:56.294459
I001,176,Location_4,2025-01-22 12:32:56.294459
I001,126,Location_5,2025-01-22 12:31:56.294459
I005,82,Location_4,2025-01-22 12:37:56.294459
I004,135,Location_5,2025-01-22 12:56:56.294459
I005,103,Location_1,2025-01-22 12:20:56.294459
I001,82,Location_1,2025-01-22 12:42:56.294459
I003,162,Location_1,2025-01-22 12:01:56.294459
I002,178,Location_2,2025-01-22 12:24:56.294459
I001,55,Location_3,2025-01-22 12:40:56.294459
I002,153,Location_2,2025-01-22 12:30:56.294459
I005,183,Location_5,2025-01-22 12:24:56.294459
I001,168,Location_1,2025-01-22 12:19:56.294459
I003,191,Location_1,2025-01-22 12:09:56.294459
I003,70,Location_3,2025-01-22 12:05:56.294459
I003,115,Location_5,2025-01-22 12:16:56.294459
I005,133,Location_1,2025-01-22 12:15:56.294459
I001,93,Location_2,2025-01-22 12:14:56.294459
I003,108,Location_4,2025-01-22 12:48:56.294459
I001,125,Location_4,2025-01-22 12:09:56.294459
I003,119,Location_2,2025-01-22 12:07:56.294459
I003,59,Location_1,2025-01-22 12:38:56.294459
I005,138,Location_2,2025-01-22 12:11:56.294459
I002,53,Location_4,2025-01-22 12:29:56.294459
I005,189,Location_4,2025-01-22 12:29:56.294459
I001,182,Location_2,2025-01-22 12:50:56.294459
I003,192,Location_3,2025-01-22 12:39:56.294459
I002,142,Location_3,2025-01-22 12:57:56.294459
I001,190,Location_5,2025-01-22 12:17:56.294459
I001,106,Location_1,2025-01-22 12:26:56.294459
I004,198,Location_3,2025-01-22 12:35:56.294459
I002,147,Location_4,2025-01-22 12:38:56.294459
I005,151,Location_3,2025-01-22 12:43:56.294459
I002,128,Location_4,2025-01-22 12:40:56.294459
I001,110,Location_4,2025-01-22 12:50:56.294459
I005,159,Location_5,2025-01-22 12:16:56.295456
I002,155,Location_3,2025-01-22 12:44:56.295456
I004,91,Location_4,2025-01-22 12:45:56.295456
I003,102,Location_4,2025-01-22 12:19:56.295456
I004,139,Location_5,2025-01-22 11:58:56.295456
I002,129,Location_4,2025-01-22 12:57:56.295456
I003,71,Location_2,2025-01-22 12:38:56.295456
I002,53,Location_3,2025-01-22 12:07:56.295456
I001,64,Location_5,2025-01-22 12:38:56.295456
I004,134,Location_5,2025-01-22 12:29:56.295456
I004,108,Location_4,2025-01-22 12:51:56.295456
I003,60,Location_5,2025-01-22 12:31:56.295456
I001,119,Location_2,2025-01-22 12:57:56.295456
I005,195,Location_5,2025-01-22 12:17:56.295456
I003,142,Location_4,2025-01-22 12:53:56.295456
I003,111,Location_5,2025-01-22 12:25:56.295456
I004,115,Location_5,2025-01-22 11:57:56.295456
I005,153,Location_1,2025-01-22 12:24:56.295456
I005,103,Location_1,2025-01-22 12:04:56.295456
I005,148,Location_3,2025-01-22 12:10:56.295456
I004,116,Location_5,2025-01-22 12:51:56.295456
I002,118,Location_3,2025-01-22 12:01:56.295456
I004,68,Location_2,2025-01-22 12:32:56.295456
I002,190,Location_3,2025-01-22 12:26:56.295456
I004,149,Location_1,2025-01-22 12:40:56.295456
I004,194,Location_2,2025-01-22 12:07:56.295456
I005,81,Location_3,2025-01-22 11:58:56.295456
I002,200,Location_4,2025-01-22 11:58:56.295456
I002,50,Location_1,2025-01-22 12:52:56.295456
I003,149,Location_2,2025-01-22 12:08:56.295456
I005,159,Location_4,2025-01-22 12:28:56.295456
